10825;8387;9038;-595;-598;-596;-599;-582;-598;-600;-595;
8387;11120;8542;-632;-642;-632;-635;-632;-634;-634;-639;
9038;8542;10976;-625;-624;-625;-628;-612;-623;-622;-624;
-595;-632;-625;7387;7304;7351;7355;7331;7348;7359;7348;
-598;-642;-624;7304;7377;7333;7337;7313;7330;7341;7330;
-596;-632;-625;7351;7333;7416;7390;7378;7395;7394;7395;
-599;-635;-628;7355;7337;7390;7416;7370;7387;7398;7387;
-582;-632;-612;7331;7313;7378;7370;7417;7375;7374;7375;
-598;-634;-623;7348;7330;7395;7387;7375;7417;7391;7392;
-600;-634;-622;7359;7341;7394;7398;7374;7391;7414;7391;
-595;-639;-624;7348;7330;7395;7387;7375;7392;7391;7417;
