10825;8377;8690;-594;-598;-591;-597;-595;-594;-604;-596;
8377;11130;8912;-629;-642;-627;-637;-626;-633;-634;-630;
8690;8912;11095;-622;-628;-616;-622;-625;-620;-627;-616;
-594;-629;-622;7404;7304;7371;7363;7363;7372;7378;7366;
-598;-642;-628;7304;7363;7319;7311;7311;7320;7326;7314;
-591;-627;-616;7371;7319;7411;7378;7390;7399;7393;7393;
-597;-637;-622;7363;7311;7378;7424;7370;7379;7385;7373;
-595;-626;-625;7363;7311;7390;7370;7419;7398;7385;7385;
-594;-633;-620;7372;7320;7399;7379;7398;7414;7394;7394;
-604;-634;-627;7378;7326;7393;7385;7385;7394;7422;7388;
-596;-630;-616;7366;7314;7393;7373;7385;7394;7388;7417;
