10825;8387;9038;-596;-595;-596;-589;-596;-597;-599;-596;
8387;11120;8542;-630;-638;-632;-628;-632;-635;-633;-635;
9038;8542;10976;-622;-617;-620;-618;-629;-625;-621;-624;
-596;-630;-622;7364;7238;7338;7313;7336;7329;7336;7329;
-595;-638;-617;7238;7340;7302;7277;7281;7293;7300;7293;
-596;-632;-620;7338;7302;7414;7389;7393;7405;7400;7405;
-589;-628;-618;7313;7277;7389;7410;7368;7380;7375;7380;
-596;-632;-629;7336;7281;7393;7368;7407;7391;7379;7384;
-597;-635;-625;7329;7293;7405;7380;7391;7417;7391;7410;
-599;-633;-621;7336;7300;7400;7375;7379;7391;7412;7391;
-596;-635;-624;7329;7293;7405;7380;7384;7410;7391;7416;
