0;1704;1706;1695;1705;1705;1704;1704;1708;1687;1698;1704;1735;1735;1702;1704;1729;1704;
1702;0;3;3;3;3;2;2;4;2;3;2;3;3;3;3;16;3;
1704;3;0;2;2;4;3;3;5;3;4;3;4;4;4;4;17;4;
1693;3;2;0;2;4;3;3;5;3;4;3;4;4;4;4;17;4;
1703;3;2;2;0;4;3;3;5;3;4;3;4;4;4;4;17;4;
1703;3;4;4;4;0;3;3;5;3;4;3;4;4;4;4;17;4;
1702;2;3;3;3;3;0;2;4;2;3;2;3;3;3;3;16;3;
1702;2;3;3;3;3;2;0;4;2;3;2;3;3;3;3;16;3;
1706;4;5;5;5;5;4;4;0;4;5;4;5;5;5;5;18;5;
1685;2;3;3;3;3;2;2;4;0;3;2;3;3;3;3;16;3;
1696;3;4;4;4;4;3;3;5;3;0;3;4;4;4;4;17;4;
1702;2;3;3;3;3;2;2;4;2;3;0;3;3;3;3;16;3;
1736;3;4;4;4;4;3;3;5;3;4;3;0;2;4;4;15;4;
1736;3;4;4;4;4;3;3;5;3;4;3;2;0;4;4;15;4;
1700;3;4;4;4;4;3;3;5;3;4;3;4;4;0;4;17;4;
1702;3;4;4;4;4;3;3;5;3;4;3;4;4;4;0;17;4;
1730;16;17;17;17;17;16;16;18;16;17;16;15;15;17;17;0;17;
1702;3;4;4;4;4;3;3;5;3;4;3;4;4;4;4;17;0;
